ababa	a- ba- ba
bidashyigikiye	bi- ta- shyigikiye
bidashyingirirwa	bi- ta- shyingira -ir -w
bidashyira	bi- ta- shyira
bidashyiraho	bi- ta- shyira -ho
bidashyiramo	bi- ta- shyira -mo
bidashyirwa	bi- ta- shyira -w
bidashyirwamo	bi- ta- shyira -w -mo
bidashyitse	bi- ta- shyitse
bidasiba	bi- ta- siba
bidasiga	bi- ta- siga
bidasigana	bi- ta- siga -an
bidasigaye	bi- ta- sigaye
bidasimbura	bi- ta- simbura
bidasindisha	bi- ta- sinda -ish
bidasize	bi- ta- size
bidasobanura	bi- ta- sobanura
bidasobanurirwa	bi- ta- sobanura -ir -w
bidasobanurwa	bi- ta- sobanura -w
bidasobanuye	bi- ta- sobanuye
bidasohora	bi- ta- sohora
bidasohotse	bi- ta- sohotse
bidasubira	bi- ta- subira
bidasubirwaho	bi- ta- subira -w -ho
bidasubiye	bi- ta- subiye
bidasubiza	bi- ta- subiza
bidasubizwa	bi- ta- subizwa
bidasukurwa	bi- ta- sukura -w
bidasukuye	bi- ta- sukuye
bidasunikira	bi- ta- sunika -ir
bidasuzumwe	bi- ta- suzuma -w -e
bidatana	bi- ta- tana
bidatandukanye	bi- ta- tandukanye
bidatanga	bi- ta- tanga
bidatangaga	bi- ta- tanga -aga
bidatangaje	bi- ta- tangaje
bidatangazwa	bi- ta- tangaza -w
bidatangira	bi- ta- tangira
bidatangirira	bi- ta- tangira -ir
bidatangiriwe	bi- ta- tangira -iye -w
bidatangwa	bi- ta- tanga -w
bidatanze	bi- ta- tanze
bidateganijwe	bi- ta- tega -an -ije -w
bidateganyijwe	bi- ta- teganya -ije -w
bidateganywa	bi- ta- teganya -w
bidategereje	bi- ta- tegereje
bidategereza	bi- ta- tegereza
bidategurirwa	bi- ta- tegura -ir -w
bidateguye	bi- ta- teguye
bidategwa	bi- ta- tega -w
bidatekerezwa	bi- ta- tekereza -w
bidatekerezwaho	bi- ta- tekereza -w -ho
bidatera	bi- ta- tera
bidaterwa	bi- ta- tera -w
bidatetse	bi- ta- tetse
bidateye	bi- ta- teye
bidateyemo	bi- ta- teye -mo
bidateze	bi- ta- teze
bidatinda	bi- ta- tinda
bidatinya	bi- ta- tinya
bidatinze	bi- ta- tinze
bidatoranije	bi- ta- toranije
bidatuma	bi- ta- tuma
bidatumbagira	bi- ta- tu- n- baga -ir
bidatunganije	bi- ta- tunganije
bidatunganye	bi- ta- tunganye
bidatunganyije	bi- ta- tunganya -ije
bidatunganyijwe	bi- ta- tunganya -ije -w
bidatunguranye	bi- ta- tungura -an -ye
bidatunze	bi- ta- tunze
bidaturiye	bi- ta- tu- riye
bidaturuka	bi- ta- turuka
bidaturutse	bi- ta- turutse
bidatuwe	bi- ta- tuwe
bidatwara	bi- ta- twara
bidatwaye	bi- ta- twaye
bidatwika	bi- ta- twika
bidatwikiriye	bi- ta- twikira -iye
bidindije	bi- dindije
bidindiza	bi- dindiza
biduca	bi- tu- ca
bidufasha	bi- tu- fasha
bidufashamo	bi- tu- fasha -mo
bidufashe	bi- tu- fashe
bidufashije	bi- tu- fashije
bidufiteho	bi- tu- fite -ho
biduha	bi- tu- ha
biduhagije	bi- tu- hagije
biduhambiriye	bi- tu- hambiriye
biduhangayikishije	bi- tu- hangayika -ish -ije
biduhaye	bi- tu- haye
biduhe	bi- tu- ha -e
biduhenda	bi- tu- henda
biduhesha	bi- tu- ha -ish
biduheshe	bi- tu- ha- eshe
biduhuza	bi- tu- huza
bidukije	bi- tu- ki- je
bidukikije	bi- tu- kikije
bidukoraho	bi- tu- kora -ho
bidukukije	bi- tu- kuka -ije
bidusaba	bi- tu- saba
bidusanga	bi- tu- sanga
bidushimisha	bi- tu- shima -ish
bidusigira	bi- tu- siga -ir
bidutandukanya	bi- tu- tandukanya
bidutegereje	bi- tu- tegereje
bidutera	bi- tu- tera
biduteranya	bi- tu- teranya
biduteye	bi- tu- teye
bidutinya	bi- tu- tinya
bidutoza	bi- tu- toza
bidutunga	bi- tu- tunga
bidutunze	bi- tu- tunze
bidutwara	bi- tu- twara
bidutwaye	bi- tu- twaye
bifasha	bi- fasha
bifashe	bi- fashe
bifasheho	bi- fashe -ho
bifashije	bi- fashije
bifashijwemo	bi- fashijwe -mo
bifashisha	bi- fasha -ish
bifashishaga	bi- fasha -ish -aga
bifashishe	bi- fasha -ish -e
bifashishije	bi- fasha -ish -ije
bifashishijwe	bi- fasha -ish -ije -w
bifashishwa	bi- fasha -ish -w
bifashishwaga	bi- fasha -ish -w -aga
bifashwa	bi- fashwa
bifashwe	bi- fashwa -e
bifata	bi- fata
bifataga	bi- fata -aga
bifatanije	bi- fatanije
bifatanijwe	bi- fata -an -ije -w
bifatanwa	bi- fata -an -w
bifatanya	bi- fatanya
bifatanyaga	bi- fatanya -aga
bifatanyamo	bi- fatanya -mo
bifatanye	bi- fatanya -e
bifatanyije	bi- fatanya -ije
bifatanyijwe	bi- fatanya -ije -w
bifatanywa	bi- fatanya -w
bifate	bi- fata -e
bifatira	bi- fata -ir
bifatiraga	bi- fata -ir -aga
bifatire	bi- fata -ir -e
bifatiriwe	bi- fata -ir -iye -w
bifatirwa	bi- fata -ir -w
bifatirwaho	bi- fata -ir -w -ho
bifatirwe	bi- fata -ir -w -e
bifatiwe	bi- fata -iye -w
bifatiye	bi- fata -iye
bifatwa	bi- fata -w
bifatwaho	bi- fata -w -ho
bifatwe	bi- fata -w -e
bifite	bi- fite
bifiteho	bi- fite -ho
bifitemo	bi- fite -mo
bifiteyo	bi- fite -yo
bifotora	bi- fotora
bifotorwa	bi- fotorwa
bifubitse	ba- ifubitse
bifuje	ba- ifuje
bifunga	bi- funga
bifungirwamo	bi- funga -ir -w -mo
bifungisha	bi- funga -ish
bifungishe	bi- funga -ish -e
bifungishije	bi- funga -ish -ije
bifungura	bi- fungura
bifungurira	bi- fungura -ir
bifungurwa	bi- fungurwa
bifungwa	bi- fungwa
bifunze	bi- funze
bifurije	bi- fura -ije
bifuza	ba- ifuza
bifuzaga	ba- ifuza -aga
bifuze	bi- fuze
bifuzwa	ba- ifuzwa
bifuzwaga	ba- ifuzwa -aga
bifuzwaho	ba- ifuzwa -ho
biga	ba- iga
bigaba	bi- gaba
bigabagabanya	bi- ka- ba- gabanya
bigabanije	bi- gabanije
bigabanijemo	bi- gabanije -mo
bigabanijwe	bi- ka- bana -ije -w
bigabanuka	bi- gabanuka
bigabanukaho	bi- gabanuka -ho
bigabanuke	bi- gabanuka -e
bigabanukiye	bi- gabanuka -iye
bigabanura	bi- gabanura
bigabanuraho	bi- gabanura -ho
bigabanutse	bi- gabanutse
bigabanutseho	bi- gabanutse -ho
bigabanya	bi- gabanya
bigabanyaga	bi- gabanya -aga
bigabanyamo	bi- gabanya -mo
bigabanye	bi- gabanya -e
bigabanyije	bi- gabanya -ije
bigabanyijemo	bi- gabanya -ije -mo
bigabanyijwemo	bi- gabanya -ije -w -mo
bigabanywa	bi- gabanya -w
bigabije	bi- gabije
bigabiza	bi- gabiza
bigaburira	bi- gaburira
bigaburirwa	bi- gaburirwa
bigaburirwaho	bi- gaburirwa -ho
bigaburiwe	bi- gaburiwe
bigaburwa	bi- ka- bura -w
bigabwa	bi- gaba -w
bigaca	bi- ka- ca
bigaceceka	bi- ka- ceceka
bigacecekwa	bi- ka- ceceka -w
bigacika	bi- ka- cika
bigacikamo	bi- ka- cika -mo
bigacira	bi- ka- cira
bigaciraho	bi- ka- cira -ho
bigacirwa	bi- ka- cirwa
bigacuruzwa	bi- ka- curuza -w
bigafasha	bi- ka- fasha
bigafata	bi- ka- fata
bigafatanya	bi- ka- fatanya
bigafatanywa	bi- ka- fatanya -w
bigafatirwa	bi- ka- fata -ir -w
bigafatwa	bi- ka- fata -w
bigafunga	bi- ka- funga
bigafungurwa	bi- ka- fungurwa
bigafungwa	bi- ka- fungwa
bigaga	bi- gaga
bigagaho	bi- gaga -ho
bigagamo	bi- gaga -mo
bigaganyaho	bi- ka- ganya -ho
bigagariye	bi- gagara -iye
bigage	bi- gaga -e
bigageza	bi- ka- geza
bigaha	bi- ka- ha
bigahabwa	bi- ka- habwa
bigahagarara	bi- ka- hagarara
bigahagararira	bi- ka- hagararira
bigahagarika	bi- ka- hagarika
bigahagarikwa	bi- ka- hagarika -w
bigahagurutsa	bi- ka- hagurutsa
bigahakanwa	bi- ka- hakana -w
bigahamagara	bi- ka- hamagara
bigahanishwa	bi- ka- hana -ish -w
bigaharanirwa	bi- ka- haranira -w
bigaharirwa	bi- ka- ha- rira -w
bigahatana	bi- ka- ha- tana
bigahazwa	bi- ka- haza -w
bigahemberwa	bi- ka- hemba -ir -w
bigahenda	bi- ka- henda
bigahera	bi- ka- hera
bigaherekezwa	bi- ka- herekeza -w
bigaherera	bi- ka- hera -ir
bigaheruka	bi- ka- heruka
bigaherwaho	bi- ka- hera -w -ho
bigahesha	bi- ka- ha -ish
bigahinda	bi- ka- hinda
bigahinduka	bi- ka- hinduka
bigahindura	bi- ka- hindura
bigahindurwa	bi- ka- hindurwa
bigahinguka	bi- ka- hinguka
bigahingwa	bi- ka- hinga -w
bigahira	bi- ka- ha -ir
bigahita	bi- ka- hita
bigahitamo	bi- ka- hita -mo
bigaho	ba- iga -ho
bigahomba	bi- ka- homba
bigahora	bi- ka- hora
bigahoraho	bi- ka- hora -ho
bigahoza	bi- ka- hoza
bigahozwaho	bi- ka- hoza -w -ho
bigahumanya	bi- ka- humanya
bigahumanywa	bi- ka- humanya -w
bigahunzwa	bi- ka- hunza -w
bigahura	bi- ka- hura
bigahurira	bi- ka- hura -ir
bigahurirana	bi- ka- ha- urira -an
bigahuza	bi- ka- huza
bigahuzwa	bi- ka- huza -w
bigairamo	bi- ka- ira -mo
bigakabya	bi- ka- kabya
bigakama	bi- ka- kama
bigakamurwa	bi- ka- kamura -w
bigakangura	bi- ka- kangura
bigakangurirwa	bi- ka- kangura -ir -w
bigakarangirirwa	bi- ka- ka- rangira -ir -w
bigakaza	bi- ka- kaza
bigakenera	bi- ka- kenera
bigakerereza	bi- ka- kerereza
bigakesha	bi- ka- kesha
bigakikije	bi- ka- kikije
bigakinga	bi- ka- kinga
bigakira	bi- ka- kira
bigakomera	bi- ka- komera
bigakomeza	bi- ka- komeza
bigakomoka	bi- ka- komoka
bigakora	bi- ka- kora
bigakorana	bi- ka- korana
bigakoranwa	bi- ka- korana -w
bigakorera	bi- ka- korera
bigakorerwa	bi- ka- korerwa
bigakoresha	bi- ka- koresha
bigakoreshwa	bi- ka- koreshwa
bigakorwa	bi- ka- korwa
bigakorwamo	bi- ka- korwa -mo
bigakubitira	bi- ka- kubita -ir
bigakubitiraho	bi- ka- kubita -ir -ho
bigakubitiramo	bi- ka- kubita -ir -mo
bigakumira	bi- ka- kumira
bigakumirwa	bi- ka- kumira -w
bigakunda	bi- ka- kunda
bigakundwa	bi- ka- kunda -w
bigakura	bi- ka- kura
bigakuraho	bi- ka- kura -ho
bigakurira	bi- ka- kura -ir
bigakurirwaho	bi- ka- kura -ir -w -ho
bigakurura	bi- ka- kurura
bigakururwa	bi- ka- kurura -w
bigakurwa	bi- ka- kura -w
bigakurwaho	bi- ka- kura -w -ho
bigakurwamo	bi- ka- kura -w -mo
bigakwira	bi- ka- kwira
bigakwiza	bi- ka- ku- i- za
bigamba	bi- gamba
bigambiriwe	bi- gamba -ir -iye -w
bigamije	bi- gamije
bigamo	ba- iga -mo
bigana	bi- gana
biganaga	bi- gana -aga
bigane	bi- gana -e
biganira	bi- ganira
biganirira	bi- ganira -ir
biganirirwa	bi- ganira -ir -w
biganiriweho	bi- ganira -iye -w -ho
biganirwaho	bi- ganira -w -ho
biganirweho	bi- ganira -w -e -ho
biganisha	bi- gana -ish
biganishije	bi- gana -ish -ije
biganje	bi- ganje
biganjemo	bi- ganje -mo
biganjye	bi- ka- n- jya -e
biganuka	bi- ka- nuka
biganwa	bi- gana -w
biganye	ba- iganye
biganyira	bi- ganyira
biganza	bi- ganza
biganzura	bi- ka- n- zura
bigapfa	bi- ka- pfa
bigapfundikirwa	bi- ka- pfundikira -w
bigapima	bi- ka- pima
bigaraga	bi- ka- raga
bigaragaje	bi- garagaje
bigaragambya	ba- igaragambya
bigaragambyaga	ba- igaragambya -aga
bigaragara	bi- garagara
bigaragaraga	bi- garagara -aga
bigaragaraho	bi- garagara -ho
bigaragarako	bi- garagara -ko
bigaragaramo	bi- garagara -mo
bigaragare	bi- garagara -e
bigaragareho	bi- garagara -e -ho
bigaragarije	bi- garagara -ije
bigaragarira	bi- garagara -ir
bigaragarire	bi- garagara -ir -e
bigaragariye	bi- garagara -iye
bigaragaye	bi- garagaye
bigaragayeho	bi- garagaye -ho
bigaragayeko	bi- garagaye -ko
bigaragaza	bi- garagaza
bigaragazamo	bi- garagaza -mo
bigaragaze	bi- garagaza -e
bigaragazwa	bi- garagaza -w
bigaramiye	bi- garama -iye
bigarara	bi- ka- rara
bigararira	bi- ka- rara -ir
bigarariye	bi- ka- rara -iye
bigaruka	bi- garuka
bigaruke	bi- garuka -e
bigarukira	bi- garuka -ir
bigarukiye	bi- garuka -iye
bigarukwa	bi- garuka -w
bigarukwaho	bi- garuka -w -ho
bigarurira	bi- ka- rura -ir
bigaruriraga	bi- ka- rura -ir -aga
bigarurire	bi- ka- rura -ir -e
bigarurwa	bi- ka- rura -w
bigaruza	bi- ka- ru- za
bigasa	bi- ka- sa
bigasaba	bi- ka- saba
bigasabana	bi- ka- sabana
bigasabwa	bi- ka- saba -w
bigasagamba	bi- ka- sagamba
bigasakuza	bi- ka- sakuza
bigasakuzwa	bi- ka- sakuza -w
bigasamirwa	bi- ka- sama -ir -w
bigasanga	bi- ka- sanga
bigasangwa	bi- ka- sangwa
bigasanwa	bi- ka- sa -an -w
bigasarurwa	bi- ka- sarura -w
bigasasira	bi- ka- sasa -ir
bigasaza	bi- ka- saza
bigasendera	bi- ka- sendera
bigasesagurwa	bi- ka- sesagura -w
bigasesengurwa	bi- ka- sesengura -w
bigashaka	bi- ka- shaka
bigashakira	bi- ka- shakira
bigashakirwa	bi- ka- shakira -w
bigashimangira	bi- ka- shimangira
bigashimangirwa	bi- ka- shimangira -w
bigashimwa	bi- ka- shimwa
bigashinga	bi- ka- shinga
bigashingira	bi- ka- shinga -ir
bigashingirwaho	bi- ka- shinga -ir -w -ho
bigashingiye	bi- ka- shinga -iye
bigashingwa	bi- ka- shinga -w
bigashira	bi- ka- shira
bigashiramo	bi- ka- shira -mo
bigashoboka	bi- ka- shoboka
bigashobora	bi- ka- shobora
bigashuka	bi- ka- shuka
bigashyika	bi- ka- shyika
bigashyira	bi- ka- shyira
bigashyiraho	bi- ka- shyira -ho
bigashyirwa	bi- ka- shyira -w
bigashyirwamo	bi- ka- shyira -w -mo
bigashyuha	bi- ka- shyuha
bigashyushywa	bi- ka- shyushya -w
bigasiba	bi- ka- siba
bigasiga	bi- ka- siga
bigasigara	bi- ka- sigara
bigasiho	bi- ka- si -ho
bigasimbura	bi- ka- simbura
bigasimburwa	bi- ka- simbura -w
bigasobanura	bi- ka- sobanura
bigasobanurwa	bi- ka- sobanura -w
bigasohoka	bi- ka- sohoka
bigasohokana	bi- ka- sohoka -an
bigasohora	bi- ka- sohora
bigasohorera	bi- ka- sohora -ir
bigasomwa	bi- ka- soma -w
bigasubikwa	bi- ka- subikwa
bigasubira	bi- ka- subira
bigasubirwamo	bi- ka- subira -w -mo
bigasubiza	bi- ka- subiza
bigasubizwa	bi- ka- subizwa
bigasukurirwa	bi- ka- sukura -ir -w
bigasumba	bi- ka- sumba
bigasura	bi- ka- sura
bigasuzumanwa	bi- ka- suzuma -an -w
bigasuzumwa	bi- ka- suzuma -w
bigata	bi- ka- ta
bigatabwa	bi- ka- tabwa
bigatahira	bi- ka- taha -ir
bigatandukana	bi- ka- tandukana
bigatandukanira	bi- ka- tandukana -ir
bigatandukanywa	bi- ka- tandukanya -w
bigatanga	bi- ka- tanga
bigatangaza	bi- ka- tangaza
bigatangazwa	bi- ka- tangaza -w
bigatangira	bi- ka- tangira
bigatangirira	bi- ka- tangira -ir
bigatangirwa	bi- ka- tangira -w
bigatangwa	bi- ka- tanga -w
bigatega	bi- ka- tega
bigateganywa	bi- ka- teganya -w
bigateguranwa	bi- ka- tegura -an -w
bigategurirwa	bi- ka- tegura -ir -w
bigatekereza	bi- ka- tekereza
bigatekerezwaho	bi- ka- tekereza -w -ho
bigatekerwa	bi- ka- teka -ir -w
bigatekeshwa	bi- ka- teka -ish -w
bigatemwa	bi- ka- tema -w
bigatera	bi- ka- tera
bigaterwa	bi- ka- tera -w
bigaterwamo	bi- ka- tera -w -mo
bigateshwa	bi- ka- ta -ish -w
bigatinda	bi- ka- tinda
bigatiza	bi- ka- tiza
bigatoha	bi- ka- toha
bigatozwa	bi- ka- toza -w
bigatuma	bi- ka- tuma
bigatumbika	bi- ka- tumbika
bigatunga	bi- ka- tunga
bigatungurana	bi- ka- tungura -an
bigatungwa	bi- ka- tunga -w
bigaturuka	bi- ka- turuka
bigatwara	bi- ka- twara
bigatwarwa	bi- ka- twara -w
bigatwika	bi- ka- twika
bigatwikira	bi- ka- twikira
bigatwikirirwa	bi- ka- twikira -ir -w
bigatwikirwa	bi- ka- twikirwa
bigatwikwa	bi- ka- twika -w
bigayisha	bi- gaya -ish
bigayo	ba- iga -yo
bigaze	bi- gaze
bige	ba- iga -e
bigejeje	bi- gejeje
bigejejeho	bi- gejeje -ho
bigejejemo	bi- gejeje -mo
bigemurirwa	bi- gemurirwa
bigemurirwamo	bi- gemurirwa -mo
bigena	bi- gena
bigenda	bi- genda
bigendana	bi- gendana
bigendane	bi- gendana -e
bigendanwa	bi- gendana -w
bigendanye	bi- gendanye
bigende	bi- genda -e
bigendera	ba- igendera
bigenderaho	ba- igendera -ho
bigenderamo	ba- igendera -mo
bigendererwa	ba- igendera -ir -w
bigenderwaho	ba- igendera -w -ho
bigendeye	ba- igendeye
bigenera	bi- genera
bigenerwa	bi- genera -w
bigenga	bi- genga
bigengwa	bi- genga -w
bigenijwe	bi- gena -ije -w
bigenwa	bi- gena -w
bigenwe	bi- gena -w -e
bigenza	bi- genza
bigenze	bi- genze
bigenzura	bi- genzura
bigenzurwa	bi- genzura -w
bigenzurwe	bi- genzura -w -e
bigenzweho	bi- genza -w -e -ho
bigera	bi- gera
bigeraga	bi- gera -aga
bigerageza	bi- gerageza
bigerageze	bi- gerageza -e
bigeraho	bi- gera -ho
bigerayo	bi- gera -yo
bigere	bi- gera -e
bigereho	bi- gera -e -ho
bigerekaho	bi- gereka -ho
bigerekwe	bi- gereka -w -e
bigerera	bi- gera -ir
bigereraho	bi- gera -ir -ho
bigereranyije	bi- gereranya -ije
bigereranywa	bi- gereranya -w
bigeretse	bi- geretse
bigeretseho	bi- geretse -ho
bigerwa	bi- gera -w
bigerwaho	bi- gera -w -ho
bigerweho	bi- gera -w -e -ho
bigeza	bi- geza
bigezaho	bi- geza -ho
bigeze	bi- geze
bigezeho	bi- geze -ho
bigezemo	bi- geze -mo
bigezwa	bi- geza -w
bigezwaho	bi- geza -w -ho
bigezwe	bi- geza -w -e
bigezweho	bi- geza -w -e -ho
bigezwemo	bi- geza -w -e -mo
bigicumbikiye	bi- ki- cumbikiye
bigicumbiye	bi- ki- cumba -iye
bigifasha	bi- ki- fasha
bigifata	bi- ki- fata
bigifatwa	bi- ki- fata -w
bigifite	bi- ki- fite
bigifunze	bi- ki- funze
bigihangana	bi- ki- hangana
bigihanitse	bi- ki- hanitse
bigihari	bi- ki- ha- ri
bigihenze	bi- ki- henze
bigihishe	bi- ki- hishe
bigihumanya	bi- ki- humanya
bigijweyo	ba- iga -ije -w -yo
bigikeneye	bi- ki- keneye
bigikennye	bi- ki- kennye
bigikikije	bi- ki- kikije
bigikomeje	bi- ki- komeje
bigikomeye	bi- ki- komeye
bigikomeza	bi- ki- komeza
bigikomokaho	bi- ki- komoka -ho
bigikora	bi- ki- kora
bigikoraho	bi- ki- kora -ho
bigikorerwa	bi- ki- korerwa
bigikorerwamo	bi- ki- korerwa -mo
bigikoreshwa	bi- ki- koreshwa
bigikorwa	bi- ki- korwa
bigikorwaho	bi- ki- korwa -ho
bigikubiyemo	bi- ki- kuba -iye -mo
bigikura	bi- ki- kura
bigikwiye	bi- ki- kwa -iye
bigira	bi- gira
bigiraga	bi- gira -aga
bigiragaho	bi- gira -aga -ho
bigiragamo	bi- gira -aga -mo
bigiraho	bi- gira -ho
bigiramo	bi- gira -mo
bigirana	bi- gira -an
bigirara	bi- ki- rara
bigirayo	bi- gira -yo
bigire	bi- gira -e
bigireho	bi- gira -e -ho
bigiremo	bi- gira -e -mo
bigireyo	bi- gira -e -yo
bigirira	bi- gira -ir
bigirire	bi- gira -ir -e
bigirirwa	bi- gira -ir -w
bigirirwaho	bi- gira -ir -w -ho
bigirirwe	bi- gira -ir -w -e
bigiriwe	bi- ki- riwe
bigiriye	bi- gira -iye
bigirizaho	bi- ki- ri- za -ho
bigirizwaho	bi- ki- ri- za -w -ho
bigirwamo	bi- girwa -mo
bigisaba	bi- ki- saba
bigisabwa	bi- ki- saba -w
bigisarurwa	bi- ki- sarura -w
bigisha	ba- igisha
bigishaga	ba- igisha -aga
bigishagaho	ba- igisha -aga -ho
bigishaho	ba- igisha -ho
bigishaka	bi- ki- shaka
bigishakishwa	bi- ki- shakisha -w
bigishamo	ba- igisha -mo
bigishe	ba- igisha -e
bigishidikanya	bi- ki- shidikanya
bigishije	ba- igishije
bigishijwe	ba- igishijwe
bigishingiraho	bi- ki- shinga -ir -ho
bigishingiye	bi- ki- shinga -iye
bigishirijemo	bi- ki- shira -ije -mo
bigishirijwe	bi- ki- shira -ije -w
bigishoboka	bi- ki- shoboka
bigishobora	bi- ki- shobora
bigishobotse	bi- ki- shobotse
bigishoboye	bi- ki- shoboye
bigishwa	ba- igishwa
bigishwaga	ba- igishwa -aga
bigishwamo	ba- igishwa -mo
bigishwe	ba- igishwa -e
bigishyira	bi- ki- shyira
bigishyushye	bi- ki- shyushye
bigisigaranye	bi- ki- sigara -an -ye
bigisomwa	bi- ki- soma -w
bigisuzuma	bi- ki- suzuma
bigitanga	bi- ki- tanga
bigitangira	bi- ki- tangira
bigitangwaho	bi- ki- tanga -w -ho
bigitanze	bi- ki- tanze
bigitega	bi- ki- tega
bigitegekeshwa	bi- ki- tegeka -ish -w
bigitegerejwe	bi- ki- tega -ir -ije -w
bigitegerejweho	bi- ki- tega -ir -ije -w -ho
bigitegurirwa	bi- ki- tegura -ir -w
bigitegurwa	bi- ki- tegura -w
bigitera	bi- ki- tera
bigiteye	bi- ki- teye
bigituma	bi- ki- tuma
bigiturukaho	bi- ki- turuka -ho
bigitwara	bi- ki- twara
bigitwaye	bi- ki- twaye
bigiye	bi- giye
bigiyeho	bi- giye -ho
bigiyemo	bi- giye -mo
bigiyeyo	bi- giye -yo
bigiza	bi- ki- za
bigize	bi- gize
bigizeho	bi- gize -ho
bigizemo	bi- gize -mo
bigizwe	bi- ki- za -w -e
bigizwemo	bi- ki- za -w -e -mo
bigizweyo	bi- ki- za -w -e -yo
bigoboka	bi- goboka
bigoboke	bi- goboka -e
bigomba	bi- gomba
bigombera	bi- gomba -ir
bigombwa	bi- gomba -w
bigombye	bi- gombye
bigomwa	ba- igomwa
bigomwe	ba- igomwe
bigora	bi- gora
bigoramye	bi- goramye
bigorana	bi- gora -an
bigoranye	bi- gora -an -ye
bigororotse	bi- gororotse
bigose	bi- gose
bigote	bi- gota -e
bigoye	bi- goye
bigufasha	bi- ku- fasha
biguha	bi- ku- ha
biguhenda	bi- ku- henda
biguhindukira	bi- ku- hindukira
bigukeneye	bi- ku- keneye
bigukoma	bi- ku- koma
bigukoraho	bi- ku- kora -ho
bigukure	bi- ku- kura -e
bigukwiye	bi- ku- kwa -iye
biguma	bi- guma
bigumaho	bi- guma -ho
bigumane	bi- gumana -e
bigume	bi- guma -e
bigumira	bi- ku- mira
bigumirayo	bi- ku- mira -yo
bigumishwa	bi- guma -ish -w
bigumyeho	bi- guma -ye -ho
bigumyemo	bi- guma -ye -mo
bigungaga	bi- ku- n- gaga
bigunze	bi- ku- n- za -e
bigura	bi- gura
bigurije	bi- gurije
bigurira	bi- gura -ir
bigurirwa	bi- gura -ir -w
bigurisha	bi- gurisha
bigurishije	bi- gurishije
bigurishwa	bi- gurishwa
bigurishwe	bi- gurishwa -e
biguriwe	bi- ku- riwe
biguriye	bi- ku- riye
biguriza	bi- guriza
biguruka	bi- guruka
bigurwa	bi- gurwa
bigurwe	bi- gurwa -e
bigusaba	bi- ku- saba
bigusha	bi- gusha
bigushamo	bi- gusha -mo
bigushimishije	bi- ku- shima -ish -ije
bigushiramo	bi- ku- shira -mo
bigushiriyeho	bi- ku- shira -iye -ho
bigusigira	bi- ku- siga -ir
bigutera	bi- ku- tera
biguteye	bi- ku- teye
bigutoza	bi- ku- toza
bigutunganire	bi- ku- tungana -ir -e
bigutunge	bi- ku- tunga -e
bigutunguye	bi- ku- tunguye
biguturutseho	bi- ku- turutse -ho
biguye	bi- guye
biguzwe	bi- guzwe
bigwa	bi- gwa
bigwaho	bi- gwa -ho
bigwe	bi- gwa -e
bigwije	bi- gwa -ije
bigwijeho	bi- gwa -ije -ho
bigwira	bi- gwira
bigwirira	bi- gwira -ir
bigwiriye	bi- gwiriye
bigwiriyemo	bi- gwiriye -mo
bigwizaho	bi- gwiza -ho
biha	biha
bihaba	bi- haba
bihabanye	bi- ha- banye
bihabera	bi- ha- bera
bihabereye	bi- ha- bereye
bihaboneka	bi- ha- boneka
bihaburira	bi- ha- burira
bihabwa	bi- habwa
bihabwe	bi- habwa -e
bihabyiganira	bi- ha- bi- i- ganira
bihacuruzwa	bi- ha- curuza -w
bihaga	biha -aga
bihagaje	bi- ha- ka- je
bihagaragara	bi- ha- garagara
bihagarara	bi- hagarara
bihagararaho	bi- hagarara -ho
bihagarare	bi- hagarara -e
bihagarariwe	bi- hagarara -iye -w
bihagarariye	bi- hagarariye
bihagarika	bi- hagarika
bihagarike	bi- hagarika -e
bihagarikiwe	bi- hagarika -iye -w
bihagarikwa	bi- hagarika -w
bihagarikwe	bi- hagarika -w -e
bihagaritse	bi- hagaritse
bihagaze	bi- ha- gaze
bihagazeho	bi- ha- gaze -ho
bihagezwa	bi- ha- geza -w
bihagije	bi- hagije
bihagiye	bi- ha- giye
bihagurukije	bi- hagurukije
bihagurukira	bi- haguruka -ir
bihaha	bi- haha
bihahaye	bi- ha- haye
bihahingwa	bi- ha- hinga -w
bihahinze	bi- ha- hinze
bihahira	bi- haha -ir
bihahirana	bi- ha- ha- ira -an
bihahirwamo	bi- ha- hirwa -mo
bihahwa	bi- haha -w
bihaje	bi- ha- je
bihakana	bi- hakana
bihakanwa	bi- hakana -w
bihakanye	bi- hakana -ye
bihakomoka	bi- ha- komoka
bihakorerwa	bi- ha- korerwa
bihakoreshwa	bi- ha- koreshwa
bihakure	bi- ha- kura -e
bihama	bi- hama
bihamagarira	bi- hamagara -ir
bihambaye	bi- ha- ambaye
bihambira	bi- hambira
bihambire	bi- hambira -e
bihamenwa	bi- ha- mena -w
bihamwa	bi- hama -w
bihamwe	bi- hama -w -e
bihamya	bi- hamya
bihamye	bi- hamye
bihana	bi- hana
bihanagura	bi- hanagura
bihanangirije	ba- ihanangirije
bihanangirijwe	bi- ha- n- angira -ije -w
bihanangirizwe	ba- ihanangiriza -w -e
bihandagaza	ba- ihandagaza
bihane	bi- hana -e
bihanga	bi- hanga
bihangana	bi- hangana
bihangane	bi- hangana -e
bihanganira	bi- hangana -ir
bihanganirana	bi- ha- n- ganira -an
bihanganire	bi- hangana -ir -e
bihanganisha	bi- hangana -ish
bihanganiwe	bi- hangana -iye -w
